expense,category
bought phone case,Shopping
bought headphones,Shopping
bought charger,Shopping
bought accessories online,Shopping
purchased gift,Shopping
bought birthday gift,Shopping
bought household item,Shopping
bought home decor,Shopping
bought kitchen item,Shopping
bought stationery,Shopping
bought notebooks,Shopping
bought pens,Shopping
bought furniture,Shopping
bought electronics,Shopping
bought gadget,Shopping
bought laptop accessory,Shopping
bought watch online,Shopping
bought new shoes online,Shopping
bought dress online,Shopping
online clothing order,Shopping
mall shopping,Shopping
clothing store purchase,Shopping
department store purchase,Shopping
retail purchase,Shopping
shopping expense,Shopping
bought new outfit,Shopping
purchased formal clothes,Shopping
bought winter clothes,Shopping
bought summer clothes,Shopping
bought sports shoes,Shopping
bought wallet online,Shopping
bought cosmetics online,Shopping
purchased accessories,Shopping
bought fashion item,Shopping
bought clothing accessories,Shopping
shopping order,Shopping
paid electricity bill,Bills
electricity payment,Bills
monthly power bill,Bills
power bill payment,Bills
paid internet bill,Bills
internet monthly bill,Bills
wifi bill,Bills
wifi subscription,Bills
broadband payment,Bills
paid gas bill,Bills
monthly gas payment,Bills
gas utility bill,Bills
paid water bill,Bills
monthly water bill,Bills
water utility payment,Bills
paid phone bill,Bills
mobile bill payment,Bills
mobile recharge,Bills
telephone payment,Bills
phone subscription,Bills
utility bills payment,Bills
monthly utility payment,Bills
household bills,Bills
paid household bill,Bills
electricity charges,Bills
internet charges,Bills
gas charges,Bills
water charges,Bills
mobile phone charges,Bills
telephone charges,Bills
wifi monthly payment,Bills
internet service payment,Bills
electricity company payment,Bills
gas company payment,Bills
water company payment,Bills
utility expense,Bills
monthly bills,Bills
bill payment,Bills
paid utility charges,Bills
home internet bill,Bills
mobile subscription payment,Bills
phone service bill,Bills
electricity monthly payment,Bills
water monthly payment,Bills
gas monthly bill,Bills
internet service bill,Bills
telephone service bill,Bills
utility account payment,Bills
house bill payment,Bills
monthly electricity bill,Bills
monthly internet payment,Bills
monthly phone payment,Bills
monthly water payment,Bills
monthly gas bill,Bills
paid broadband bill,Bills
paid mobile bill,Bills
paid telephone bill,Bills
paid utility bill online,Bills
online bill payment,Bills
household utility payment,Bills
electricity dues,Bills
internet dues,Bills
gas dues,Bills
water dues,Bills
phone dues,Bills
watched a movie,Entertainment
movie theater ticket,Entertainment
cinema payment,Entertainment
movie booking,Entertainment
movie show ticket,Entertainment
bought movie ticket,Entertainment
paid for cinema,Entertainment
concert booking,Entertainment
concert entry ticket,Entertainment
live show ticket,Entertainment
theater show,Entertainment
theater booking,Entertainment
gaming subscription payment,Entertainment
video game purchase,Entertainment
bought a game,Entertainment
online gaming payment,Entertainment
game subscription,Entertainment
arcade visit,Entertainment
arcade game payment,Entertainment
music subscription payment,Entertainment
music streaming,Entertainment
video streaming subscription,Entertainment
streaming service payment,Entertainment
Netflix payment,Entertainment
entertainment subscription,Entertainment
movie night expense,Entertainment
weekend movie,Entertainment
cinema night,Entertainment
concert expense,Entertainment
event ticket,Entertainment
event booking,Entertainment
theme park ticket,Entertainment
amusement park ticket,Entertainment
fun activity,Entertainment
entertainment booking,Entertainment
online game purchase,Entertainment
mobile game purchase,Entertainment
gaming expense,Entertainment
music app subscription,Entertainment
movie streaming,Entertainment
TV subscription,Entertainment
sports streaming subscription,Entertainment
paid for streaming,Entertainment
theater ticket purchase,Entertainment
show ticket,Entertainment
festival ticket,Entertainment
entertainment outing,Entertainment
recreation expense,Entertainment
weekend entertainment,Entertainment
family movie,Entertainment
cinema snacks,Entertainment
movie booking online,Entertainment
concert ticket purchase,Entertainment
game download purchase,Entertainment
arcade visit payment,Entertainment
music app payment,Entertainment
streaming monthly payment,Entertainment
entertainment ticket,Entertainment
leisure activity,Entertainment
recreation ticket,Entertainment
movie subscription,Entertainment
gaming service payment,Entertainment
online entertainment,Entertainment
paid for event,Entertainment
entertainment cost,Entertainment
bought textbooks,Education
purchased school books,Education
bought university books,Education
bought college books,Education
course registration fee,Education
paid tuition,Education
monthly tuition fee,Education
school fee,Education
university tuition,Education
college tuition,Education
online course fee,Education
online class payment,Education
e learning subscription,Education
online education payment,Education
training program fee,Education
workshop registration,Education
seminar fee,Education
exam registration fee,Education
test fee,Education
education materials,Education
study books purchase,Education
notebook purchase for study,Education
stationery for school,Education
school supplies,Education
college supplies,Education
university supplies,Education
bought study guide,Education
bought reference books,Education
bought academic books,Education
education subscription,Education
learning platform payment,Education
online learning subscription,Education
course enrollment,Education
course registration,Education
training course payment,Education
professional course fee,Education
certification course fee,Education
academic fee,Education
semester fee,Education
admission fee,Education
school tuition payment,Education
college fee payment,Education
university fee payment,Education
lab fee,Education
library fee,Education
exam registration,Education
education workshop,Education
training workshop,Education
academic workshop,Education
study material purchase,Education
educational software,Education
learning app subscription,Education
online class subscription,Education
student course fee,Education
school supplies purchase,Education
college stationery,Education
university stationery,Education
educational books,Education
study material cost,Education
course payment,Education
tuition payment,Education
academic subscription,Education
education expense,Education
learning expense,Education
school payment,Education
semester tuition,Education
training fee,Education
course enrollment payment,Education
exam fee payment,Education
books for study,Education
doctor consultation,Health
